TITLE,PRICE(INR),RATING,RATING COUNTS,LINK
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,499,3.9 out of 5 stars,"1,155",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-19
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.4 out of 5 stars,"6,109",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-20
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6 out of 5 stars,236,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-21
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6 out of 5 stars,913,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-22
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",399,4.3 out of 5 stars,"4,223",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-23
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,859,3.9 out of 5 stars,"1,027",https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-24
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3 out of 5 stars,857,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-25
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,839,4.0 out of 5 stars,"13,941",https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692707261&sprefix=ba%2Caps%2C283&sr=8-26
"Arctic Hunter Hard-Top 15.6"" Laptop Bag 21L (Model Secure) Anti-Theft Built-in Combination Lock, Waterproof for Office, College, Men, Women","3,990",4.3 out of 5 stars,41,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxMjI2ODA4NTE3NTk4OjE2OTI3MDcyNjE6c3BfbXRmOjIwMTUzMDM4Nzg5MTk4OjowOjo&url=%2FSecure-Combination-Waterproof-College-Walkent%2Fdp%2FB09T71WXSF%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707261%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"ZEBRONICS Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Grey)",499,3.0 out of 5 stars,6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxMjI2ODA4NTE3NTk4OjE2OTI3MDcyNjE6c3BfbXRmOjMwMDAxNjYxODE5NjczMjo6MDo6&url=%2FZEBRONICS-Compartment-Backpacks-15-6-inch-Polyester%2Fdp%2FB0C6QNNPMM%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692707261%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
